feature,split_score,gain_score
feature_1,-0.40546510795816443,1.4204431349175295
feature_2,-23.025850929940457,-23.025850929940457
feature_3,-23.025850929940457,-23.025850929940457
hist_transactions_count,-1.2163953239869931,0.985197309395401
hist_category_1_sum,0.2956502421753626,3.716047619878163
hist_category_1_mean,-23.025850929940457,-23.025850929940457
hist_category_2_1.0_mean,-23.025850929940457,-23.025850929940457
hist_category_2_2.0_mean,-23.025850929940457,-23.025850929940457
hist_category_2_3.0_mean,-23.025850929940457,-23.025850929940457
hist_category_2_4.0_mean,-23.025850929940457,-23.025850929940457
hist_category_2_5.0_mean,-23.025850929940457,-23.025850929940457
hist_category_3_A_mean,-23.025850929940457,-23.025850929940457
hist_category_3_B_mean,-23.025850929940457,-23.025850929940457
hist_category_3_C_mean,-23.025850929940457,-23.025850929940457
hist_merchant_id_nunique,-23.025850929940457,-23.025850929940457
hist_merchant_category_id_nunique,-23.025850929940457,-23.025850929940457
hist_state_id_nunique,-23.025850929940457,-23.025850929940457
hist_city_id_nunique,-23.025850929940457,-23.025850929940457
hist_subsector_id_nunique,-23.025850929940457,-23.025850929940457
hist_purchase_amount_sum,-2.094945727403301,-0.6275954870210949
hist_purchase_amount_mean,-23.025850929940457,-23.025850929940457
hist_purchase_amount_max,-3.102342006387249,-3.3052432051753593
hist_purchase_amount_min,-23.025850929940457,-23.025850929940457
hist_purchase_amount_std,-23.025850929940457,-23.025850929940457
hist_installments_sum,1.258954938771684,4.103867556708818
hist_installments_mean,-23.025850929940457,-23.025850929940457
hist_installments_max,-23.025850929940457,-23.025850929940457
hist_installments_min,-23.025850929940457,-23.025850929940457
hist_installments_std,-23.025850929940457,-23.025850929940457
hist_purchase_month_mean,-23.025850929940457,-23.025850929940457
hist_purchase_month_max,-23.025850929940457,-23.025850929940457
hist_purchase_month_min,-23.025850929940457,-23.025850929940457
hist_purchase_month_std,-23.025850929940457,-23.025850929940457
hist_purchase_date_ptp,-1.1349799325278733,2.323214296636051
hist_purchase_date_min,-23.025850929940457,-23.025850929940457
hist_purchase_date_max,-23.025850929940457,-23.025850929940457
hist_month_lag_min,-23.025850929940457,-23.025850929940457
hist_month_lag_max,-23.025850929940457,-23.025850929940457
auth_transactions_count,-1.4170660193741442,1.9510756369228757
auth_category_1_sum,2.544021837363436,6.898993692164464
auth_category_1_mean,-0.1242977165643419,3.740347291364136
auth_category_2_1.0_mean,-23.025850929940457,-23.025850929940457
auth_category_2_2.0_mean,-23.025850929940457,-23.025850929940457
auth_category_2_3.0_mean,-23.025850929940457,-23.025850929940457
auth_category_2_4.0_mean,-23.025850929940457,-23.025850929940457
auth_category_2_5.0_mean,-23.025850929940457,-23.025850929940457
auth_category_3_A_mean,-23.025850929940457,-23.025850929940457
auth_category_3_B_mean,-23.025850929940457,-23.025850929940457
auth_category_3_C_mean,-23.025850929940457,-23.025850929940457
auth_merchant_id_nunique,-3.7135720626043076,-3.5247169051500764
auth_merchant_category_id_nunique,-3.5189804139435386,-0.4232493819169467
auth_state_id_nunique,-23.025850929940457,-23.025850929940457
auth_city_id_nunique,-23.025850929940457,-23.025850929940457
auth_subsector_id_nunique,-23.025850929940457,-23.025850929940457
auth_purchase_amount_sum,-2.1202635353667576,-1.5503618278227769
auth_purchase_amount_mean,-0.5368011099981986,0.6167226813082027
auth_purchase_amount_max,2.082601101982665,3.2096379992336286
auth_purchase_amount_min,-23.025850929940457,-23.025850929940457
auth_purchase_amount_std,-1.1050020864649577,-0.34241711877335806
auth_installments_sum,-1.8971199842192146,1.6718188956361308
auth_installments_mean,-23.025850929940457,-23.025850929940457
auth_installments_max,-23.025850929940457,-23.025850929940457
auth_installments_min,-23.025850929940457,-23.025850929940457
auth_installments_std,-23.025850929940457,-23.025850929940457
auth_purchase_month_mean,-23.025850929940457,-23.025850929940457
auth_purchase_month_max,-0.510825623599324,2.160428363962299
auth_purchase_month_min,-23.025850929940457,-23.025850929940457
auth_purchase_month_std,-3.7256934230866525,-1.5802310059621205
auth_purchase_date_ptp,2.2475006515637923,5.5903903142029145
auth_purchase_date_min,-23.025850929940457,-23.025850929940457
auth_purchase_date_max,1.5645425925471277,4.736628776038872
auth_month_lag_min,2.1972245773473307,5.329451960887826
auth_month_lag_max,-23.025850929940457,-23.025850929940457
new_transactions_count,1.84176988981857,5.168328502857958
new_category_1_sum,-23.025850929940457,-23.025850929940457
new_category_1_mean,1.8101086079126152,4.3638041096884015
new_category_2_1.0_mean,-23.025850929940457,-23.025850929940457
new_category_2_2.0_mean,-23.025850929940457,-23.025850929940457
new_category_2_3.0_mean,-23.025850929940457,-23.025850929940457
new_category_2_4.0_mean,-23.025850929940457,-23.025850929940457
new_category_2_5.0_mean,-23.025850929940457,-23.025850929940457
new_category_3_A_mean,-23.025850929940457,-23.025850929940457
new_category_3_B_mean,-2.3978952716983706,-0.8799236983909465
new_category_3_C_mean,-23.025850929940457,-23.025850929940457
new_merchant_id_nunique,-1.5040773963262741,1.3965116226671865
new_merchant_category_id_nunique,1.7126909457704,3.7163652169726413
new_state_id_nunique,-23.025850929940457,-23.025850929940457
new_city_id_nunique,-23.025850929940457,-23.025850929940457
new_subsector_id_nunique,-1.8718021762515913,0.14948141627902253
new_purchase_amount_sum,1.3130221600404655,3.4654072105811453
new_purchase_amount_mean,-1.3673663508418716,0.7416497299145934
new_purchase_amount_max,2.103131312814448,5.218813117311275
new_purchase_amount_min,-23.025850929940457,-23.025850929940457
new_purchase_amount_std,1.29800175400152,4.48226590395801
new_installments_sum,-23.025850929940457,-23.025850929940457
new_installments_mean,-23.025850929940457,-23.025850929940457
new_installments_max,-23.025850929940457,-23.025850929940457
new_installments_min,-23.025850929940457,-23.025850929940457
new_installments_std,-1.9187591593081124,0.24916791850759756
new_purchase_month_mean,-1.3652409515303916,0.3283257151116048
new_purchase_month_max,-23.025850929940457,-23.025850929940457
new_purchase_month_min,-1.3862943607198905,0.8380023361054864
new_purchase_month_std,-0.48242614908229275,2.399474463968207
new_purchase_date_ptp,1.1301606464353338,4.417925614780456
new_purchase_date_min,1.4723689699140718,6.600692170898975
new_purchase_date_max,0.4956826437243426,3.9516734927008565
new_month_lag_min,-0.6931471803599453,3.437619156946922
new_month_lag_max,4.934473933131411,14.507713818562534
month_lag_mean,-23.025850929940457,-23.025850929940457
month_lag_std,-23.025850929940457,-23.025850929940457
purchase_amount_count_mean,-23.025850929940457,-23.025850929940457
purchase_amount_count_std,-2.277267284034756,-0.4946058190426989
purchase_amount_sum_mean,-23.025850929940457,-23.025850929940457
purchase_amount_sum_std,-23.025850929940457,-23.025850929940457
purchase_amount_mean_mean,-23.025850929940457,-23.025850929940457
purchase_amount_mean_std,-23.025850929940457,-23.025850929940457
purchase_amount_min_mean,-23.025850929940457,-23.025850929940457
purchase_amount_min_std,-23.025850929940457,-23.025850929940457
purchase_amount_max_mean,-23.025850929940457,-23.025850929940457
purchase_amount_max_std,-23.025850929940457,-23.025850929940457
purchase_amount_std_mean,-3.1780538279479456,-3.3278163796837235
purchase_amount_std_std,-3.4735180400167813,-2.598949980973884
installments_count_mean,-23.025850929940457,-23.025850929940457
installments_count_std,-23.025850929940457,-23.025850929940457
installments_sum_mean,-23.025850929940457,-23.025850929940457
installments_sum_std,-23.025850929940457,-23.025850929940457
installments_mean_mean,-23.025850929940457,-23.025850929940457
installments_mean_std,-23.025850929940457,-23.025850929940457
installments_min_mean,-23.025850929940457,-23.025850929940457
installments_min_std,-23.025850929940457,-23.025850929940457
installments_max_mean,-23.025850929940457,-23.025850929940457
installments_max_std,-23.025850929940457,-23.025850929940457
installments_std_mean,-23.025850929940457,-23.025850929940457
installments_std_std,-2.5257286430582555,-1.341058050406452
authorized_flag_sum,-23.025850929940457,-23.025850929940457
authorized_flag_mean,-0.21542150509626098,2.336668031686992
